"rn","mpg","disp","hp","drat","wt","qsec","carb"
"Mazda RX4",0.151,-0.571,-0.535,0.568,-0.61,-0.777,0.735
"Mazda RX4 Wag",0.151,-0.571,-0.535,0.568,-0.35,-0.464,0.735
"Datsun 710",0.45,-0.99,-0.783,0.474,-0.917,0.426,-1.122
"Hornet 4 Drive",0.217,0.22,-0.535,-0.966,-0.002,0.89,-1.122
"Hornet Sportabout",-0.231,1.043,0.413,-0.835,0.228,-0.464,-0.503
"Valiant",-0.33,-0.046,-0.608,-1.565,0.248,1.327,-1.122
"Duster 360",-0.961,1.043,1.434,-0.723,0.361,-1.124,0.735
"Merc 240D",0.715,-0.678,-1.235,0.175,-0.028,1.204,-0.503
"Merc 230",0.45,-0.726,-0.754,0.605,-0.069,2.827,-0.503
"Merc 280",-0.148,-0.509,-0.345,0.605,0.228,0.253,0.735
"Merc 280C",-0.38,-0.509,-0.345,0.605,0.228,0.588,0.735
"Merc 450SE",-0.612,0.364,0.486,-0.985,0.872,-0.251,0.116
"Merc 450SL",-0.463,0.364,0.486,-0.985,0.524,-0.139,0.116
"Merc 450SLC",-0.811,0.364,0.486,-0.985,0.575,0.085,0.116
"Cadillac Fleetwood",-1.608,1.947,0.85,-1.247,2.078,0.073,0.735
"Lincoln Continental",-1.608,1.85,0.996,-1.116,2.255,-0.016,0.735
"Chrysler Imperial",-0.894,1.689,1.215,-0.686,2.175,-0.24,0.735
"Fiat 128",2.042,-1.227,-1.177,0.904,-1.04,0.907,-1.122
"Honda Civic",1.711,-1.251,-1.381,2.494,-1.638,0.376,-0.503
"Toyota Corolla",2.291,-1.288,-1.191,1.166,-1.413,1.148,-1.122
"Toyota Corona",0.234,-0.893,-0.725,0.193,-0.769,1.209,-1.122
"Dodge Challenger",-0.762,0.704,0.048,-1.565,0.309,-0.548,-0.503
"AMC Javelin",-0.811,0.591,0.048,-0.835,0.223,-0.307,-0.503
"Camaro Z28",-1.127,0.962,1.434,0.25,0.636,-1.365,0.735
"Pontiac Firebird",-0.148,1.366,0.413,-0.966,0.642,-0.447,-0.503
"Fiat X1-9",1.196,-1.224,-1.177,0.904,-1.31,0.588,-1.122
"Porsche 914-2",0.98,-0.891,-0.812,1.559,-1.101,-0.643,-0.503
"Lotus Europa",1.711,-1.094,-0.491,0.324,-1.742,-0.531,-0.503
"Ford Pantera L",-0.712,0.97,1.711,1.166,-0.048,-1.874,0.735
"Ferrari Dino",-0.065,-0.692,0.413,0.044,-0.457,-1.314,1.973
"Maserati Bora",-0.845,0.567,2.747,-0.106,0.361,-1.818,3.212
"Volvo 142E",0.217,-0.885,-0.55,0.96,-0.447,0.42,-0.503
